id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
128,Savannah,[],GA,United States,USA,North America,32.0790074,-81.0921335,29.452,147780,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,"[dBQUByQTLJQ,2nY1SeJRxVs,soADvhez5l4,Jkp4M758N_I]","[[0],[0],[0],[0]]","[[33],[0],[0],[0]]","[[6681],[2370],[2491],[6186]]","[0,0,0,0]","[26122023,17102021,17102021,24072021]","[UCNCx-I_RPedpquZ1-c0VhYw,UCsDV9sL5ECqOx-LwzQ6Z2bg,UCsDV9sL5ECqOx-LwzQ6Z2bg,UCCWC63_fLObjdnextgUjC7A]"
129,San Diego,[],CA,United States,USA,North America,32.7174202,-117.162772,295.645,1394928,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,[ucNNYqvgUHY],[[0]],[[65]],[[1382]],[0],[28022021],[UCNuWCBM-4pn582kUg0BVexw]
130,Daytona Beach,[],FL,United States,USA,North America,29.2108147,-81.0228331,28.134,72647,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,"[ljGKfTqndnU,HZLeR7jHLJ0]","[[0],[0]]","[[52],[66]]","[[5695],[1145]]","[0,0]","[24112024,26022025]","[UCNCx-I_RPedpquZ1-c0VhYw,UCnE3aVwoqOABeJM0s8qta-g]"
131,San Jose,[],CA,United States,USA,North America,37.3361663,-121.890591,1383.0,1026908,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,[fqBi83v6Nm4],[[0]],[[0]],[[1800]],[0],[28042022],[UCsDV9sL5ECqOx-LwzQ6Z2bg]
138,Atlanta,[],GA,United States,USA,North America,33.7489924,-84.3902644,525.888,463878,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,[zQOUkRW9Hwk],[[0]],[[0]],[[4129]],[0],[20092020],[UCv4VbLmP58ef1ZA686dcvvQ]
139,Dallas,[],TX,United States,USA,North America,32.7762719,-96.7968559,688.928,1300092,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,[M5_u4g5RhfA],[[0]],[[0]],[[2290]],[0],[13082020],[UCv4VbLmP58ef1ZA686dcvvQ]
140,Denver,[],CO,United States,USA,North America,39.7392364,-104.984862,288.8,715522,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,[KXn-RuZ4yqA],[[0]],[[0]],[[2770]],[0],[10062022],[UCv4VbLmP58ef1ZA686dcvvQ]
144,Gold Coast,[],QLD,Australia,AUS,Oceania,-28.0023731,153.4145987,26.669,640778,27196812.0,4.9,0.0,171.7199627,38.9,33.8,163.0,[fIVHup1-EXs],[[1]],[[0]],[[1176]],[0],[24052024],[UC5a4ySnkMmxUajtMCpPRg3Q]
145,Baltimore,[],MD,United States,USA,North America,39.2908816,-76.610759,241.399,576498,340110988.0,12.7,0.0,170.12460785,38.5,41.8,151.1,"[vPAYJuzLhOg,TXtGwk9_Ses,gOINAYqaT2w,UfQdGAwbWvI,jHIemn5q5Bo]","[[0],[1],[0],[0],[0]]","[[0],[2421],[0],[0],[0]]","[[3646],[2742],[3645],[3917],[3866]]","[0,0,0,0,0]","[20092021,19092021,16092021,24042021,23042021]","[UCsDV9sL5ECqOx-LwzQ6Z2bg,UCsDV9sL5ECqOx-LwzQ6Z2bg,UCsDV9sL5ECqOx-LwzQ6Z2bg,UCsDV9sL5ECqOx-LwzQ6Z2bg,UCsDV9sL5ECqOx-LwzQ6Z2bg]"
146,Stockholm,[],,Sweden,SWE,Europe,59.325117,18.071093,203.899,1515017,10569709.0,3.1,0.0,173.5653211,41.0,29.3,94.9,"[Z_LAymZqaAY,VF6ElR9c3OE,umSX7zaMloQ,yPI0-k9tzFc,pkzlynIDTgQ,ytvC0PNoWlA,vIRVd8MukyU,lM101ThyEU0,4iG135-LQEo,TBN0hKvab2g,TowtgzjEiqc,iyywM_0cEkU,6i4fvYb0X_E,05GS5KQ3UpA,bFgL4lNP6Bk,6j-FdDtfwFI,f9CgPAS8JW4,xfQCVFXs3Fo,mMJyVvEvZvE,qhluKMhkfrU,D22sDCxcGps,NiAvHjQx_ps,K9BaKr1mcHM,BO5S8IfId3g,y2j-pO5HIxA,vhey1ENy96Y,BJK3CCYz-Xo,auRvPZn_SLs,kjnvEImUpE0,TPzxLcv6C9U,tIdyeP8QVV4,ydMsSZYdBic,8q12LmGPd10,jXbXn3CxVrg,pSl8uCRGLzU,XFt4Y6ZmZAg,cKeBoXoseSg,Sm_BqPJS_p0,_837o0-CSWk,dFtn5NJ41QQ,_Zj7a98yTmM,q_MYa3b0sFU,Lt2nu0yBa4I,GWncnl2vtf8,JQ7d88iRHJY,JqVM-qHG0G8,br0Ug0Xqry4,U5WKjAW0Ksg,Lc3rNXRQnzE,WkRv7gaQb0M,ipT5ozAnFKI,3havcAPdhtY,0R1YyYbvX8o,si9IbhEqb34,RW_p2vAhh8s,QDJcFSd-Hno,VAAZkqoWu8I,BuCwh8-_EiM,Z7acAQP-eso,pvcxLSB2bWo,vVybUHsyPZI,c-B0vJUXI7k,VRAe7Q9ckfE,IfKlK_jPA4c,HI_hi7gurP8,rkxEpt5js2M,t5NOP2dvKuk,gbFs2sGmYT4,hI6_x3yiP14,ms7hW0P5Iwk,6a6MEOQHkiQ,AUkODgLn4k4,eZpskpUnVy0,GZ4UVUVDIR0,UrnLn3e4m9g,16Lf2HkQYck,pVwZnK9zoDo,BywtJ5yR5F8,MErFHyyW7_E,Ci-pzqX-V4E,p3hng0X5H_w,13whgjpGdaE,AQtIYCOstko,wDN4alt-veI,I5DKFpkUfR0,3VkGCFF70ls,Yk4IX2PXixg,C0GTfRFJdCA,dzQR8NjsGWQ,sSIsBl9oVbA,UcSYx2jEtPs,WAPkv98yh48,qk8RYwafvEg,fxd5LpMEUzc,pMKT-qQqUuA,HE49PJnZE50,_RZHbJ5G5RA,27MZCc8sIJ8,fZ7DsGfAWpU,isQ_ekJGJeo,v4_tIDeuNDQ,peMRvNv_4AA,BPIM6fZ5QDw,d2oGwTaMLD8,f5P9yxa3TlE,11VfQKasGUM,defBVAz4KJo,rVei7sXuuKI,dmGSzvwGJbI]","[[1],[0],[1],[1],[1],[0],[0],[1],[1],[1],[1],[1],[0],[1],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[0],[0]]","[[1957],[0],[1143],[0],[0],[0],[9],[10],[10],[10],[0],[10],[10],[10],[10],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[85],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5,290],[5],[5],[5],[74]]","[[2216],[2044],[1635],[299],[300],[841],[145],[305],[305],[306],[346],[346],[305],[305],[305],[305],[305],[305],[306],[306],[306],[305],[305],[306],[305],[305],[305],[306],[305],[305],[306],[305],[305],[305],[305],[305],[306],[306],[305],[305],[306],[306],[305],[307],[306],[305],[305],[305],[305],[305],[306],[305],[305],[305],[305],[306],[305],[306],[306],[305],[306],[306],[306],[306],[306],[305],[305],[305],[305],[305],[305],[305],[1808],[305],[305],[305],[305],[310],[305],[310],[305],[305],[1810],[309],[305],[305],[309],[305],[305],[306],[305],[1807],[306],[306],[306],[306],[334],[309],[306],[304],[309],[1840],[305],[305],[236,347],[1817],[469],[1946],[4183]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[25032026,23032026,19032026,29032020,1042020,10042020,27042020,27042020,27042020,27042020,28042020,28042020,28042020,28042020,28042020,28042020,28042020,28042020,28042020,28042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,29042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,30042020,1052020,1052020,1052020,1052020,1052020,1052020,2052020,2052020,2052020,2052020,2052020,2052020,3052020,3052020,3052020,3052020,3052020,3052020,3052020,3052020,3052020,3052020,3052020,3052020,3052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,4052020,5052020,5052020,6052020,6052020,6052020,27052020,6082025]","[UC6XIzpZ3F7-aG4Dv9MzVgeA,UC6XIzpZ3F7-aG4Dv9MzVgeA,UC6XIzpZ3F7-aG4Dv9MzVgeA,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCqSDFMGq3JS-JgdsRl8YeCg,UCcwGwvM5iPB9IvtTnMTVcEg]"
