locality,locality_aka,state,country,iso3,continent,lat,lon
Arriaga,[],,Mexico,MEX,North America,16.234783,-93.901521
Tuxtla Gutierrez,"[Tuxtla Gutiérrez,Tuxtla]",,Mexico,MEX,North America,16.753801,-93.115959
Villahermosa,[],,Mexico,MEX,North America,17.9884657,-92.9366326
Newcastle,[],WA,United States,USA,North America,47.53028,-122.16333
Binzhou,[],,China,CHN,Asia,37.3821206,117.9647262
Xinxiang,[],,China,CHN,Asia,35.308611,114.051111
Lourdes,[],,France,FRA,Europe,43.0940904,-0.0464975
Saint-Jean-Pied-de-Port,[Saint Jean Pied de Port],,France,FRA,Europe,43.1629528,-1.2380528
Navarrete,[],,Spain,ESP,Europe,42.4289697,-2.5616234
Logroño,[],,Spain,ESP,Europe,42.4661196,-2.4396676
Miranda de Ebro,[],,Spain,ESP,Europe,42.6800943,-2.9747229
Vitoria Gasteiz,[],,Spain,ESP,Europe,42.8505845,-2.66145
Puerto Lápice,[],,Spain,ESP,Europe,39.3243594,-3.4817078
Mijas,[],,Spain,ESP,Europe,36.5557539,-4.6950428
